(cur prev) 00:04, 10 April 2019 . . Arunkumar (talk | contribs) edited the description . . (+883)‎ undo
(cur prev	topic) 17:46, 26 February 2019 . . HardcodeCoder (talk | contribs) commented on "Week 4 Assignment 3- Power of Randomness" (Try using this code, it worked fine for me. Please format your post before posting, so that it's easier to read for others :) import r...) . . (+972)‎ hidedelete
(cur prev	topic) 17:33, 26 February 2019 . . HardcodeCoder (talk | contribs) commented on "Assignment-4(Quiz):" (Yes, it is indeed "Dobble game" and not "Double game". It is a typo consider, it as "Dobble game") . . (+97)‎ hidedelete
(cur prev	topic) 16:24, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "Assignment4(Q.2)" . . (+48)‎ hidedelete
(cur prev	topic) 16:21, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "Assignment4(Q.2)" . . (-1)‎ hidedelete
(cur prev	topic) 16:20, 26 February 2019 . . Arunkumar (talk | contribs) commented on "Assignment4(Q.2)" (That is why I printed only i Thanks for sharing your codes friends. R,C =map(int,input().split(" ")) p=1 z=[[0 for x in range(C)]for y...) . . (+324)‎ hidedelete
(cur prev	topic) 16:17, 26 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (Maybe! completely possible. I wish to see someone post their code.) . . (+66)‎ hidedelete
(cur prev	topic) 16:00, 26 February 2019 . . Kripan (talk | contribs) commented on "Assignment4(Q.2)" (Please point out the mistake causing error."sep" is not creating space in between m,n=map(int,input().split()) def matrix1(): matrix=...) . . (+475)‎ hidedelete
(cur prev	topic) 15:52, 26 February 2019 . . Vivek.kumar (talk | contribs) commented on "Assignment-4(Quiz):" (Just see the videos for Dobble game) . . (+35)‎ hidedelete
(cur prev	topic) 15:51, 26 February 2019 . . Som (talk | contribs) commented on "Assignment-4(Quiz):" (That is probably a minute error, I solved it considering Dobble Game.) . . (+69)‎ hidedelete
(cur prev	topic) 13:53, 26 February 2019 . . Chaklu2675 (talk | contribs) commented on "Assignment-4(Quiz):" (The question no. 2 says, "Which of the following statements is true about 'Double' game?" It is asking about the Double not Dobble game....) . . (+245)‎ hidedelete
(cur prev	topic) 13:18, 26 February 2019 . . Joycz (talk | contribs) commented on "For the assignment Power of randomness" (this code can be optimised??) . . (+28)‎ hidedelete
(cur prev	topic) 08:50, 26 February 2019 . . Madmax (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (Thank you this works well i was puzzled with the problem) . . (+56)‎ hidedelete
(cur prev	topic) 07:56, 26 February 2019 . . Suman chandra modak (talk | contribs) commented on "Week 4 Assignment 3- Power of Randomness" (In the assignment Power of Randomness the code is correct but the output is varying with the actual output Code:- n=int(input()) list=[]...) . . (+395)‎ hidedelete
(cur prev	topic) 06:00, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+12)‎ hidedelete
(cur prev	topic) 05:57, 26 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (Updated just Now.) . . (+17)‎ hidedelete
(cur prev	topic) 05:56, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (-1)‎ hidedelete
(cur prev	topic) 05:55, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+329)‎ hidedelete
(cur prev	topic) 05:54, 26 February 2019 . . Msaikat2004 (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (use this code it will work i think row,col=map(int,input().split()) matrix = [] a=0 for i in range(row): l = [] for j i...) . . (+454)‎ hidedelete
(cur prev	topic) 03:49, 26 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+3)‎ hidedelete
(cur prev	topic) 23:11, 25 February 2019 . . Arunkumar (talk | contribs) commented on "MAGIC SQUARE" (is there any way to fill a uneven dimension like 3x6 or 4x9 etc) . . (+63)‎ hidedelete
(cur prev	topic) 23:00, 25 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (I agree with you. Still I am just cross checking with it, But I didn't use to sort. for now as I have no time to go further. I stopped th...) . . (+209)‎ hidedelete
(cur prev	topic) 22:56, 25 February 2019 . . Arunkumar (talk | contribs) commented on "MAGIC SQUARE" (Thank you @Som. That is wonderful.) . . (+40)‎ hidedelete
(cur prev	topic) 22:55, 25 February 2019 . . C++veteran (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+1)‎ hidedelete
(cur prev	topic) 22:54, 25 February 2019 . . C++veteran (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+1)‎ hidedelete
(cur prev	topic) 22:53, 25 February 2019 . . C++veteran (talk | contribs) commented on "For the assignment Power of randomness" (well, the purpose of this question fails if you'r using sorted() function. We don't want things that much easy are we) . . (+117)‎ hidedelete
(cur prev	topic) 22:50, 25 February 2019 . . C++veteran (talk | contribs) deleted a comment on "For the assignment Power of randomness" (wrong reply) . . (-67)‎ undelete
(cur prev	topic) 22:46, 25 February 2019 . . C++veteran (talk | contribs) commented on "For the assignment Power of randomness" (well, the purpose of this question fails if you are using sorted().) . . (+67)‎ 
(cur prev	topic) 22:40, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+4)‎ hidedelete
(cur prev	topic) 22:37, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+6)‎ hidedelete
(cur prev	topic) 22:37, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+254)‎ hidedelete
(cur prev	topic) 22:36, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (-37)‎ hidedelete
(cur prev	topic) 22:34, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+7)‎ hidedelete
(cur prev	topic) 22:34, 25 February 2019 . . Arunkumar (talk | contribs) deleted a comment on "For the assignment Power of randomness" (Wrong post) . . (-1)‎ undelete
(cur prev	topic) 22:34, 25 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (@ AI, Yes, this Assignment was complicated to get the inputs in the 1st place. Yet, after taking some rest, i was able to figure-out a so...) . . (+342)‎ hidedelete
(cur prev	topic) 22:29, 25 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (t) . . (+1)‎ 
(cur prev	topic) 22:29, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+9)‎ hidedelete
(cur prev	topic) 22:28, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (+1)‎ hidedelete
(cur prev	topic) 22:27, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (-5)‎ hidedelete
(cur prev	topic) 22:26, 25 February 2019 . . Arunkumar (talk | contribs) commented on "For the assignment Power of randomness" (This is what i came up with. I hope this wont complicate your situation more friend! import random n=int(input()) list_1=[0]*n for i in...) . . (+715)‎ hidedelete
(cur prev	topic) 22:12, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (0)‎ hidedelete
(cur prev	topic) 22:11, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (-1)‎ hidedelete
(cur prev	topic) 22:09, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (0)‎ hidedelete
(cur prev	topic) 22:09, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (0)‎ hidedelete
(cur prev	topic) 22:07, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (+49)‎ hidedelete
(cur prev	topic) 22:06, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (0)‎ hidedelete
(cur prev	topic) 22:05, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (+49)‎ hidedelete
(cur prev	topic) 22:03, 25 February 2019 . . Arunkumar (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (-15)‎ hidedelete
(cur prev	topic) 22:00, 25 February 2019 . . Arunkumar (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (Maybe... my Code is little complicated. But this worked. But above examples felt simple and easy. Thanks for sharing your codes friends....) . . (+392)‎ hidedelete
(cur prev	topic) 21:55, 25 February 2019 . . Arunkumar (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (Try this x,y=input().split(" ") x=int(x) y=int(y) n=1 for i in range(x): for j in range(y): if j<y-1: print(n,end="...) . . (+280)‎ hidedelete
(cur prev	topic) 21:55, 25 February 2019 . . Arunkumar (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (x,y=input().split(" ") x=int(x) y=int(y) n=1 for i in range(x): for j in range(y): if j<y-1: print(n,end=" ")...) . . (+265)‎ hidedelete
(cur prev	topic) 21:11, 25 February 2019 . . C++veteran (talk | contribs) edited a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" . . (+4)‎ hidedelete
(cur prev	topic) 21:10, 25 February 2019 . . C++veteran (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (you need to remove '\n' after every column. if(j==y-1): print(n,end="") n=n+1 else: print(n,end=" ") n=n+1 add t...) . . (+164)‎ hidedelete
(cur prev	topic) 20:17, 25 February 2019 . . Joycz (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (same prblm) . . (+10)‎ hidedelete
(cur prev	topic) 19:46, 25 February 2019 . . Lwardell (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (I am having the same problem. I get answers of 1 2 3\n. How do I remove the space after this line?) . . (+98)‎ hidedelete
(cur prev	topic) 18:44, 25 February 2019 . . Sudha Verma (talk | contribs) deleted a comment on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (nobody replied) . . (-376)‎ undelete
(cur prev	topic) 18:16, 25 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on """timetuple().tm_yday"" what does this do..????" . . (+81)‎ hidedelete
(cur prev	topic) 18:15, 25 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on """timetuple().tm_yday"" what does this do..????" . . (+3)‎ hidedelete
(cur prev	topic) 18:15, 25 February 2019 . . HardcodeCoder (talk | contribs) edited a comment on """timetuple().tm_yday"" what does this do..????" . . (+44)‎ hidedelete
(cur prev	topic) 18:13, 25 February 2019 . . HardcodeCoder (talk | contribs) commented on """timetuple().tm_yday"" what does this do..????" (Can you please quote the complete function.) . . (+43)‎ hidedelete
(cur prev	topic) 16:34, 25 February 2019 . . Sudha Verma (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (x,y=input().split(" ") x=int(x) y=int(y) n=1 magicsquare=[] for i in range(x): l=[] for j in range(y): l.append...) . . (+376)‎ 
(cur prev	topic) 13:39, 25 February 2019 . . Narendra (talk | contribs) commented on """timetuple().tm_yday"" what does this do..????" (i want to know what function will it perform..""timetuple().tm_yday"" please help me out...!!!) . . (+94)‎ hidedelete
(cur prev	topic) 12:55, 25 February 2019 . . Sudha Verma (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (x,y=input().split(" ") x=int(x) y=int(y) n=1 for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if(i!=x-1)...) . . (+311)‎ hidedelete
(cur prev	topic) 12:50, 25 February 2019 . . Puneet Patel (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (I have same query. I am trying this way r,c=input().split(" ") r=int(r) c=int(c) e=1 for i in range(r): for j in range(c): print(e,...) . . (+239)‎ hidedelete
(cur prev	topic) 12:20, 25 February 2019 . . Lwardell (talk | contribs) commented on "Indentation error" (This is what I have. It didn't format correctly in the post above.) . . (+66)‎ hidedelete
(cur prev	topic) 10:45, 25 February 2019 . . AI (talk | contribs) commented on "For the assignment Power of randomness" (can you explain this question? what are the inputs that are to be selected by the random function and which ones should we input?) . . (+129)‎ hidedelete
(cur prev	topic) 10:44, 25 February 2019 . . Som (talk | contribs) edited a comment on "MAGIC SQUARE" . . (+4)‎ hidedelete
(cur prev	topic) 10:44, 25 February 2019 . . Som (talk | contribs) edited a comment on "MAGIC SQUARE" . . (-4)‎ hidedelete
(cur prev	topic) 10:44, 25 February 2019 . . Som (talk | contribs) edited a comment on "MAGIC SQUARE" . . (+2)‎ hidedelete
(cur prev	topic) 10:43, 25 February 2019 . . Som (talk | contribs) edited a comment on "MAGIC SQUARE" . . (-8)‎ hidedelete
(cur prev	topic) 10:43, 25 February 2019 . . Som (talk | contribs) edited a comment on "MAGIC SQUARE" . . (-5)‎ hidedelete
(cur prev	topic) 10:42, 25 February 2019 . . Som (talk | contribs) commented on "MAGIC SQUARE" (This is syntactically incorrect in python. One easy way could be: ms = [] for i in range(n): ms.append([0]*n)) . . (+138)‎ hidedelete
(cur prev	topic) 10:34, 25 February 2019 . . Som (talk | contribs) edited a comment on "Indentation error" . . (+16)‎ hidedelete
(cur prev	topic) 10:33, 25 February 2019 . . Som (talk | contribs) commented on "Indentation error" (for i in range(r): for j in range(c): print(output[i][j],end=" ") print() This should be the correct indentation.) . . (+130)‎ hidedelete
(cur prev	topic) 10:32, 25 February 2019 . . Rishi (talk | contribs) commented on "For the assignment Power of randomness" (that i am already using, my problem is I am not sure who to execute the program till the sorting is complete and then exit) . . (+122)‎ hidedelete
(cur prev	topic) 04:34, 25 February 2019 . . Descentis (talk | contribs) commented on "Week4-Programming Assignment-3: The power of Randomness" (Please read the question carefully. All the steps have been written in details. In the input format, we have mentioned taking the size...) . . (+158)‎ hidedelete
(cur prev	topic) 04:32, 25 February 2019 . . Descentis (talk | contribs) commented on "Week4-Programming Assignment-3: The power of Randomness" (This question is not clear to me. Especially steps. Please elaborate on the steps. Some doubts: 1) In step 2 it is written that "take...) . . (+594)‎ hidedelete
(cur prev	topic) 04:32, 25 February 2019 . . Descentis (talk | contribs) commented on "Week4-Programming Assignment-3: The power of Randomness" (Asked by gbfulia@gmail.com) . . (+26)‎ hidedelete
(cur prev	topic) 01:04, 25 February 2019 . . Lwardell (talk | contribs) commented on "Indentation error" (It's hard to see what I had. The first line is not indented. The second line is indented, the first print statement is indented again. Th...) . . (+183)‎ hidedelete
(cur prev	topic) 01:03, 25 February 2019 . . Lwardell (talk | contribs) commented on "Indentation error" (I have gotten this code to properly write out the answer when I use Spyder, but when I run it in the compiler, I am getting an indentatio...) . . (+272)‎ hidedelete
(cur prev	topic) 13:54, 24 February 2019 . . Sai Manish (talk | contribs) edited a comment on "MAGIC SQUARE" . . (+118)‎ hidedelete
(cur prev	topic) 13:54, 24 February 2019 . . Sai Manish (talk | contribs) edited a comment on "MAGIC SQUARE" . . (-110)‎ hidedelete
(cur prev	topic) 13:53, 24 February 2019 . . Sai Manish (talk | contribs) commented on "MAGIC SQUARE" (Can you please tell me where i am going wrong . I have tried to put the elements in the list directly without using another list def mag...) . . (+238)‎ hidedelete
(cur prev	topic) 09:18, 24 February 2019 . . C++veteran (talk | contribs) edited a comment on "For the assignment Power of randomness" . . (0)‎ hidedelete
(cur prev	topic) 09:16, 24 February 2019 . . C++veteran (talk | contribs) commented on "For the assignment Power of randomness" (I've been there. What i did is I have put 'continue' statement in the last else. So if the I and J element are already sorted then it doe...) . . (+156)‎ hidedelete
(cur prev	topic) 06:35, 24 February 2019 . . Joycz (talk | contribs) commented on "magic square" (thanks a lot...) . . (+15)‎ hidedelete
(cur prev	topic) 06:14, 24 February 2019 . . Rishi (talk | contribs) commented on "For the assignment Power of randomness" (my current code sorts some times while other times it doesnt sort.) . . (+66)‎ hidedelete
(cur prev	topic) 06:13, 24 February 2019 . . Rishi (talk | contribs) commented on "For the assignment Power of randomness" (For the assignment Power of randomness I am able to sort, just not sure how can i run my look till the list is sorted. Can some one pleas...) . . (+164)‎ hidedelete
(cur prev	topic) 20:47, 23 February 2019 . . C++veteran (talk | contribs) deleted a comment on "Problem regarding the editor in programming assignment" (not helpful) . . (-141)‎ undelete
(cur prev	topic) 20:46, 23 February 2019 . . C++veteran (talk | contribs) deleted a comment on "Problem regarding the editor in programming assignment" (not helpful ) . . (-45)‎ undelete
(cur prev	topic) 17:39, 23 February 2019 . . Pritish shubham (talk | contribs) commented on "magic square" (The code need to be corrected for 2 things 1. magic.append(l) - this need to be appended a step forward 2. The last for statement need t...) . . (+1,182)‎ hidedelete
(cur prev	topic) 16:16, 23 February 2019 . . C++veteran (talk | contribs) commented on "Problem regarding the editor in programming assignment" (i can share code for factorial if that helps. editor only shows output when you output is wrong. otherwise it shows "passed" in green col...) . . (+141)‎ 
(cur prev	topic) 16:03, 23 February 2019 . . Arunkumar (talk | contribs) commented on "Problem regarding the editor in programming assignment" (can you please share your code?) . . (+31)‎ hidedelete
(cur prev	topic) 15:56, 23 February 2019 . . Joycz (talk | contribs) commented on "magic square" (def magic_square(n): magicSquare = [] for i in range(n): l=[] for j in range(n): l.append(0) m...) . . (+1,129)‎ hidedelete
(cur prev	topic) 15:51, 23 February 2019 . . Joycz (talk | contribs) commented on "magic square" (okkk thanks a lot it was helpful) . . (+32)‎ hidedelete
(cur prev	topic) 15:16, 23 February 2019 . . Pritish shubham (talk | contribs) commented on "magic square" (As per my understanding - "it depends on the kind of outcome you want the code to perform". In the above program, you have used 1 for l...) . . (+766)‎ hidedelete
(cur prev	topic) 14:39, 23 February 2019 . . Joycz (talk | contribs) commented on "magic square" (okay how would i know i will have to indent that for when i finished the line before for and hit entered that line came what i have written) . . (+139)‎ hidedelete
(cur prev	topic) 14:01, 23 February 2019 . . C++veteran (talk | contribs) commented on "Problem in Submiting Assignment-3" (solved it. never mind.) . . (+22)‎ hidedelete
(cur prev	topic) 13:41, 23 February 2019 . . Pritish shubham (talk | contribs) commented on "magic square" (you need to indent one step forward for the 3rd "for statement" try this: def magic_square(n): magicSquare = [] for i in range(...) . . (+366)‎ hidedelete
(cur prev	topic) 13:34, 23 February 2019 . . C++veteran (talk | contribs) commented on "Problem in Submiting Assignment-3" (i am suffering with same problem. Have you found the error yet?) . . (+63)‎ hidedelete
(cur prev	topic) 13:04, 23 February 2019 . . C++veteran (talk | contribs) commented on "Problem regarding the editor in programming assignment" (it doesn't show the output if code is passed.) . . (+45)‎ 
(cur prev	topic) 12:09, 23 February 2019 . . Joycz (talk | contribs) edited a comment on "magic square" . . (+88)‎ hidedelete
(cur prev	topic) 12:08, 23 February 2019 . . Joycz (talk | contribs) commented on "magic square" (def magic_square(n): magicSquare = [] for i in range(n): l=[] for j in range(n): l.append(0) magic...) . . (+284)‎ hidedelete
(cur prev	topic) 09:56, 23 February 2019 . . Prateek.vashishtha (talk | contribs) commented on "are programming assignments counted for evaluation of final marks?" (I missed programming asignments for previous weeks, will marks for same counted in final score of certification?) . . (+112)‎ hidedelete
(cur prev	topic) 09:30, 23 February 2019 . . Simran (talk | contribs) commented on "datetime.date.today().strftime("%B") why there in qutations give the capital "B"." (%B Month as locale’s full name. September) . . (+41)‎ hidedelete
(cur prev	topic) 09:27, 23 February 2019 . . Simran (talk | contribs) commented on "datetime.date.today().strftime("%B") why there in qutations give the capital "B"." (Question asked by pushpa.dinne@gmail.com) . . (+40)‎ hidedelete
(cur prev	topic) 06:48, 23 February 2019 . . Madhavi rp (talk | contribs) commented on "Can any give me the code for assignment3 in week4" (Can any give me the code for assignment3 in week4) . . (+49)‎ hidedelete
(cur prev	topic) 09:47, 22 February 2019 . . Chuttipayan (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (You will have do the same for J there should not be any space printed for the last number) . . (+89)‎ hidedelete
(cur prev	topic) 04:32, 22 February 2019 . . Arunkumar (talk | contribs) edited a comment on "To all the students, please bookmark the below link" . . (+122)‎ hidedelete
(cur prev	topic) 04:30, 22 February 2019 . . Arunkumar (talk | contribs) edited a comment on "To all the students, please bookmark the below link" . . (+1)‎ hidedelete
(cur prev	topic) 04:30, 22 February 2019 . . Arunkumar (talk | contribs) edited a comment on "To all the students, please bookmark the below link" . . (+1)‎ hidedelete
(cur prev	topic) 04:30, 22 February 2019 . . Arunkumar (talk | contribs) commented on "To all the students, please bookmark the below link" (http://sccilabs.org/jocwiki/index.php/Main_Page On this page there are links for FAQs and all JOCwiki activity. I observed that most of...) . . (+199)‎ hidedelete
(cur prev	topic) 04:26, 22 February 2019 . . Arunkumar (talk | contribs) commented on "Problem regarding the editor in programming assignment" (Problem regarding the editor in programming assignment (Someone posted this question in the description. Please comment/reply below to st...) . . (+405)‎ hidedelete
(cur prev) 04:24, 22 February 2019 . . Arunkumar (talk | contribs) edited the description . . (-291)‎ undo
(cur prev	topic) 19:09, 21 February 2019 . . Sudha Verma (talk | contribs) commented on "for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if" (x,y=input().split(" ") x=int(x) y=int(y) for i in range(x): for j in range(y): print(n,end=" ") n=n+1 if(i!=x-1):...) . . (+231)‎ hidedelete
(cur prev	topic) 13:08, 21 February 2019 . . Dharmesh.enc (talk | contribs) commented on "Could you please keep deadline to submit assignment for Quiz & Programming assignment same date?" (Could you please keep deadline to submit assignment for Quiz & Programming assignment same date. Out of confusion with dates missed to su...) . . (+214)‎ hidedelete
(cur prev	topic) 06:56, 21 February 2019 . . Arunkumar (talk | contribs) edited a comment on "Out of the several possibilities, isn't it possible to get the same word jumbled out as in the input of the random.sample() function. Like we do random.sample("water",5) and somehow out of the several cases it joins w,a,t,e,r and gives water as the output??." . . (+12)‎ hidedelete
(cur prev	topic) 06:56, 21 February 2019 . . Arunkumar (talk | contribs) edited a comment on "Out of the several possibilities, isn't it possible to get the same word jumbled out as in the input of the random.sample() function. Like we do random.sample("water",5) and somehow out of the several cases it joins w,a,t,e,r and gives water as the output??." . . (-2)‎ hidedelete
(cur prev	topic) 06:50, 21 February 2019 . . Arunkumar (talk | contribs) commented on "Out of the several possibilities, isn't it possible to get the same word jumbled out as in the input of the random.sample() function. Like we do random.sample("water",5) and somehow out of the several cases it joins w,a,t,e,r and gives water as the output??." (Try below code and see if you ever get in or to. This is one way, I have found to limit the non-jumbled word output. import random cword...) . . (+331)‎ hidedelete
(cur prev	topic) 06:42, 21 February 2019 . . Ravisankar.vangala (talk | contribs) commented on "Problem regarding the editor in programming assignment" (The problem is when i run the code in spyder console it shows me exact output as required. When i run the same code in the editor given i...) . . (+234)‎ hidedelete
(cur prev) 06:41, 21 February 2019 . . Ravisankar.vangala (talk | contribs) created the description . . (+291)‎ 
(cur prev	topic) 06:19, 21 February 2019 . . Simran (talk | contribs) commented on "Hi sir,mam In 'Permutations-Jumbled Words' program we have defined (def) functions. how will python know which one to execute first or which is the main function or way in which the defined functions are executed.??" (The statements which are not defined under any function are executed first in Python.) . . (+85)‎ hidedelete
(cur prev	topic) 06:19, 21 February 2019 . . Simran (talk | contribs) commented on "Hi sir,mam In 'Permutations-Jumbled Words' program we have defined (def) functions. how will python know which one to execute first or which is the main function or way in which the defined functions are executed.??" (Question asked by akhilesh236025@gmail.com) . . (+42)‎ hidedelete
(cur prev	topic) 05:37, 21 February 2019 . . Simran (talk | contribs) commented on "Problem in Submiting Assignment-3" (When you submit, it shows you the marks obtained based on private test cases.) . . (+77)‎ hidedelete
(cur prev	topic) 19:10, 20 February 2019 . . Dharmesh.enc (talk | contribs) hid the topic "Please keep deadline to submit assignment for Quiz & Programming assignment same date" (Post again later) . . (-85)‎ unhidedelete
(cur prev	topic) 18:51, 20 February 2019 . . Dharmesh.enc (talk | contribs) commented on "Please keep deadline to submit assignment for Quiz & Programming assignment same date" (Please keep deadline to submit assignment for Quiz & Programming assignment same date. Out of confusion with dates missed to submit Quiz...) . . (+204)‎ hidedelete
(cur prev	topic) 05:30, 20 February 2019 . . Gayathri (talk | contribs) commented on "Problem in Submiting Assignment-3" (how do i test those?) . . (+20)‎ hidedelete
(cur prev	topic) 04:46, 20 February 2019 . . Simran (talk | contribs) commented on "Out of the several possibilities, isn't it possible to get the same word jumbled out as in the input of the random.sample() function. Like we do random.sample("water",5) and somehow out of the several cases it joins w,a,t,e,r and gives water as the output??." (It is possible if you try all 5! possibilities.) . . (+47)‎ hidedelete
(cur prev	topic) 04:46, 20 February 2019 . . Simran (talk | contribs) commented on "Out of the several possibilities, isn't it possible to get the same word jumbled out as in the input of the random.sample() function. Like we do random.sample("water",5) and somehow out of the several cases it joins w,a,t,e,r and gives water as the output??." (Question asked by shivamtripathiknp@gmail.com) . . (+45)‎ hidedelete
(cur prev	topic) 04:38, 20 February 2019 . . Simran (talk | contribs) commented on "In thank function why you pass parameter thank(p1n,p2n,p1,p2):. In function jumble why you pass word parameter jumble(word) because we created array name called words." (You pass those parameters in the function which are required to carry out the execution.) . . (+88)‎ hidedelete
(cur prev	topic) 04:38, 20 February 2019 . . Simran (talk | contribs) commented on "In thank function why you pass parameter thank(p1n,p2n,p1,p2):. In function jumble why you pass word parameter jumble(word) because we created array name called words." (Question asked by mpmukundh@gmail.com) . . (+37)‎ hidedelete
(cur prev	topic) 04:37, 20 February 2019 . . Simran (talk | contribs) commented on "Problem in Submiting Assignment-3" (There are private test cases too. You are awarded marks based on number of private test cases passed.) . . (+101)‎ hidedelete
(cur prev	topic) 13:37, 19 February 2019 . . Gayathri (talk | contribs) commented on "Problem in Submiting Assignment-3" (while compiling and running my Assignment-3(Power of Randomness) it is saying that all test cases are passed but once i submit the assign...) . . (+264)‎ hidedelete
(cur prev	topic) 13:29, 19 February 2019 . . Amulya (talk | contribs) commented on "assignment not answered" (can i know how much of the total score will be reduced if a week's assignment is not answered?) . . (+94)‎ hidedelete
(cur prev	topic) 06:16, 19 February 2019 . . Simran (talk | contribs) commented on "p value in Theory of Evolution" (The change in the bits is done according to the p value) . . (+55)‎ hidedelete
(cur prev	topic) 06:16, 19 February 2019 . . Simran (talk | contribs) commented on "p value in Theory of Evolution" (Question asked by vidhya136m@gmail.com) . . (+38)‎ hidedelete
