(cur prev) 00:03, 10 April 2019 . . Arunkumar (talk | contribs) edited the description . . (+883)‎ undo
(cur prev	topic) 11:57, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (sir kindly go to this link. "https://github.com/ContinuumIO/anaconda-issues/issues/10576".) . . (+91)‎ hidedelete
(cur prev	topic) 11:57, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (Sorry, Then windows user should help you. I am a Linux user.) . . (+60)‎ hidedelete
(cur prev	topic) 11:53, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (No, anaconda is not having it) . . (+29)‎ hidedelete
(cur prev	topic) 11:21, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (sir i have tried change directory command already.But nothing is working.I have googled it, they are saying reinstall anaconda and upgrad...) . . (+247)‎ hidedelete
(cur prev	topic) 11:13, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (Try these solutions stackoverflow.com/questions/25981703/pip-install-fails-with-connection-error-ssl-certificate-verify-failed-certi#297...) . . (+142)‎ hidedelete
(cur prev	topic) 11:11, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+152)‎ hidedelete
(cur prev	topic) 11:05, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (can you please share me your scripts folder path?) . . (+49)‎ hidedelete
(cur prev	topic) 11:03, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (@Naveena418, You are welcome. :)) . . (+38)‎ hidedelete
(cur prev	topic) 11:01, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (Can you please go through print matrix for assignment and try printing that way? please Spend 10 minutes on that. http://sccilabs.org/jo...) . . (+183)‎ hidedelete
(cur prev	topic) 10:59, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (yes) . . (+3)‎ hidedelete
(cur prev	topic) 10:58, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (you tried video steps too?) . . (+26)‎ hidedelete
(cur prev	topic) 10:52, 18 March 2019 . . Naveena418 (talk | contribs) commented on "Binary Matrix" (Thank You . It's working.) . . (+25)‎ hidedelete
(cur prev	topic) 10:51, 18 March 2019 . . Naveena418 (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (n=int(input()) m=[[col for col in list(map(int,input().split()))] for r in range(n)] for i in range(n): l1=[] for j in range(n): l...) . . (+412)‎ hidedelete
(cur prev	topic) 10:49, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (i tried it. SSL error is shown) . . (+30)‎ hidedelete
(cur prev	topic) 10:36, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (you are not using pre tags. use them while posting code here. <pre> a='This is my code' print(a) </pre>) . . (+117)‎ hidedelete
(cur prev	topic) 10:33, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+1)‎ hidedelete
(cur prev	topic) 10:29, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Programming Assignment-3: Binary Matrix" (Possible Cause is, if conditions. You are treating 0 and 1 as strings, by enclosing them with quotes integers doesn't need to be enclos...) . . (+613)‎ hidedelete
(cur prev	topic) 09:26, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (This is a video link youtube.com/watch?v=zYdHr-LxsJ0) . . (+53)‎ hidedelete
(cur prev	topic) 09:22, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+35)‎ hidedelete
(cur prev	topic) 09:21, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+46)‎ hidedelete
(cur prev	topic) 09:21, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Unable to install gmplot" . . (+146)‎ hidedelete
(cur prev	topic) 09:19, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (Try this once python -m pip install gmplot) . . (+44)‎ hidedelete
(cur prev	topic) 09:17, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (Let see if @Kamalakar or any windows user can help you.) . . (+61)‎ hidedelete
(cur prev	topic) 09:15, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Problem 1 printing question" . . (0)‎ hidedelete
(cur prev	topic) 09:14, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Problem 1 printing question" (Try these examples and understand How, parts of, print statement are influencing the output. print_test.py m=[[1,2,3],[4,5,6],[7,8,9]...) . . (+1,627)‎ hidedelete
(cur prev	topic) 09:10, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (I have already tried it. But it is saying pip is not recognized as an external or internal command.Yes I have anaconda installed) . . (+128)‎ hidedelete
(cur prev	topic) 08:38, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Problem 1 printing question" (@Lwardell, Did you check this old discussion on removing trailing spaces? http://sccilabs.org/jocwiki/index.php/Topic:Uun3hurl05g7z0is) . . (+141)‎ hidedelete
(cur prev	topic) 08:33, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "i always hate maths" . . (-2)‎ hidedelete
(cur prev	topic) 08:33, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "i always hate maths" . . (+20)‎ hidedelete
(cur prev	topic) 08:28, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Unable to install gmplot" (I use Linux, so my steps may not work for you. This worked for me. Open command prompt using win+r and type cmd or somewhere in start...) . . (+253)‎ hidedelete
(cur prev	topic) 08:26, 18 March 2019 . . Pallavikhatri (talk | contribs) commented on "Programming Assignment-3: Binary Matrix" (For yes condition i am getting correct output but for no i am not passing test case . Can anybody help where the logic is going wrong fo...) . . (+398)‎ hidedelete
(cur prev	topic) 08:14, 18 March 2019 . . Kousarattar (talk | contribs) edited a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" . . (+1)‎ hidedelete
(cur prev	topic) 08:12, 18 March 2019 . . Kousarattar (talk | contribs) deleted a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (i typed it second time) . . (-474)‎ undelete
(cur prev	topic) 08:10, 18 March 2019 . . Kousarattar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (def upper(m,n): for i in range(n): for j in range(n): if (i>j): if(j<n-1): print(...) . . (+474)‎ 
(cur prev	topic) 08:09, 18 March 2019 . . Kousarattar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (i dont know what is the problem with my answer too. when i compile it on assignment's complier it seems fine but it evaluating as wrong a...) . . (+657)‎ hidedelete
(cur prev	topic) 08:07, 18 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+6)‎ hidedelete
(cur prev	topic) 08:07, 18 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (@Marysubaja, you are welcome, from all of us on this discussion thread.) . . (+71)‎ hidedelete
(cur prev	topic) 08:05, 18 March 2019 . . Kamalakar (talk | contribs) edited a comment on "i always hate maths" . . (-5)‎ hidedelete
(cur prev	topic) 07:58, 18 March 2019 . . Arunkumar (talk | contribs) commented on "i always hate maths" (Well said friend. Debugging by checking the output using print statements. That is called dry run.) . . (+98)‎ hidedelete
(cur prev	topic) 03:38, 18 March 2019 . . Kripan (talk | contribs) commented on "Unable to install gmplot" (Kindly help me with step by step process to install gmplot in windows10 32-bit.) . . (+79)‎ hidedelete
(cur prev	topic) 22:24, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Problem 1 printing question" (if necessary use another statement in side the above if statement with appropriate condition) . . (+92)‎ hidedelete
(cur prev	topic) 22:05, 17 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Problem 1 printing question" . . (+4)‎ hidedelete
(cur prev	topic) 22:04, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Problem 1 printing question" (use if statements in the last for loops if zzzzz : print(m[i][j],end=" ") else: print(m[i][j,end="")...) . . (+358)‎ hidedelete
(cur prev	topic) 19:38, 17 March 2019 . . Lwardell (talk | contribs) commented on "Problem 1 printing question" (I've spent too long trying to figure out the print statement. I get everything correct except a space between the last number of each row...) . . (+423)‎ hidedelete
(cur prev	topic) 16:37, 17 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Binary Matrix" . . (-158)‎ hidedelete
(cur prev	topic) 16:35, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (Problem with this forum is they are not getting back on what is happening after following your advice You are doing more home work than t...) . . (+336)‎ hidedelete
(cur prev	topic) 16:33, 17 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Binary Matrix" . . (+4)‎ hidedelete
(cur prev	topic) 16:30, 17 March 2019 . . Kamalakar (talk | contribs) deleted a comment on "Binary Matrix" (posted a better explanation) . . (-717)‎ undelete
(cur prev	topic) 16:30, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (@Arun, You said your code is working fine. and you are also stating that interchange of m,n is obsolete. Kindly insert this one line afte...) . . (+283)‎ hidedelete
(cur prev	topic) 16:14, 17 March 2019 . . Kamalakar (talk | contribs) commented on "i always hate maths" (With little patience, if your start debugging the code by introducing print statements after every line and see the output, you will be a...) . . (+574)‎ hidedelete
(cur prev	topic) 16:03, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (my code failed the private tests because of this reason m not equal to m. These IIT people are very intelligent. I am seeing this from th...) . . (+717)‎ 
(cur prev	topic) 15:46, 17 March 2019 . . Marysubaja (talk | contribs) commented on "Binary Matrix" (Thank you sir i got pass All the test cases) . . (+43)‎ hidedelete
(cur prev	topic) 15:30, 17 March 2019 . . Jaiprince17 (talk | contribs) commented on "added a basic spiral in notes check it out at the end" (http://sccilabs.org/jocwiki/index.php/Lecture_Notes:Week_7) . . (+58)‎ hidedelete
(cur prev	topic) 13:18, 17 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (-2)‎ hidedelete
(cur prev	topic) 12:45, 17 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (Friend @Kamalakar, That is not effecting their code, possibly because from these tasks in the Assignment, that interchange of m,n is obso...) . . (+261)‎ hidedelete
(cur prev	topic) 12:36, 17 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Binary Matrix" . . (+157)‎ hidedelete
(cur prev	topic) 12:34, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (I replied above, you have defined the function by passing the parameters m,n and while calling you are calling it by n,m. as long as n=m...) . . (+195)‎ hidedelete
(cur prev	topic) 12:32, 17 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (nope :P) . . (+7)‎ hidedelete
(cur prev	topic) 12:26, 17 March 2019 . . Arunkumar (talk | contribs) commented on "i always hate maths" (I have started a separate discussion on your talk page. lets talk there. This discussion will create long posts. http://sccilabs.org/joc...) . . (+174)‎ hidedelete
(cur prev	topic) 12:23, 17 March 2019 . . Arunkumar (talk | contribs) edited a comment on "i always hate maths" . . (+58)‎ hidedelete
(cur prev	topic) 12:22, 17 March 2019 . . Arunkumar (talk | contribs) commented on "i always hate maths" (I understand, Using maths for the beginners creates a lot of confusion for a student. It is possible to use non math examples in the begi...) . . (+178)‎ hidedelete
(cur prev	topic) 12:19, 17 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (-13)‎ hidedelete
(cur prev	topic) 12:19, 17 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (-14)‎ hidedelete
(cur prev	topic) 12:17, 17 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (@Lakshmi, I resolved your problem. strip() is causing the problem. Change your input part to this and try, It will pass all the test cas...) . . (+272)‎ hidedelete
(cur prev	topic) 12:16, 17 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+34)‎ hidedelete
(cur prev	topic) 12:15, 17 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (@Naveena418, Even @Lakshmi is having same problem. You both are taking input by using strip(), that is causing problem Change your inpu...) . . (+296)‎ hidedelete
(cur prev	topic) 12:12, 17 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (in the beginning of the course Professor says this is not a rocket science but still we end up in mathematics :D :D) . . (+116)‎ hidedelete
(cur prev	topic) 12:09, 17 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (yep m[0], m[0][0]) . . (+18)‎ hidedelete
(cur prev	topic) 12:08, 17 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (week 7 programming assignment bro ...) . . (+38)‎ hidedelete
(cur prev	topic) 12:01, 17 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (Then try printing space separately, Why are you printing same print(m[i][j],end=" ") even when the condition is not satisfied? Can you p...) . . (+183)‎ hidedelete
(cur prev	topic) 11:46, 17 March 2019 . . Naveena418 (talk | contribs) commented on "Binary Matrix" (For this code it is passing all the test cases , but after submitting it is giving 66.66667/100 def isBinaryMatrix(m,n,mat): for i in...) . . (+547)‎ hidedelete
(cur prev	topic) 11:44, 17 March 2019 . . Arunkumar (talk | contribs) edited a comment on "i always hate maths" . . (+51)‎ hidedelete
(cur prev	topic) 11:43, 17 March 2019 . . Arunkumar (talk | contribs) commented on "i always hate maths" (let me help you with matrix then. Ask me your doubts. Which part of matrix confuses you most?) . . (+93)‎ hidedelete
(cur prev	topic) 11:43, 17 March 2019 . . Naveena418 (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (after changing i an getting error that \n is spacing a space after the end of the line. for i in range(n): for j in range(n): if(j<i...) . . (+250)‎ hidedelete
(cur prev	topic) 11:42, 17 March 2019 . . Arunkumar (talk | contribs) commented on "i always hate maths" (Ha ha ha... I also hate maths. I struggled a lot with prime numbers. But programming is fun. So, where you got confused?) . . (+120)‎ hidedelete
(cur prev	topic) 11:30, 17 March 2019 . . Jaiprince17 (talk | contribs) edited a comment on "i always hate maths" . . (0)‎ hidedelete
(cur prev	topic) 11:30, 17 March 2019 . . Jaiprince17 (talk | contribs) commented on "i always hate maths" (ill skip programming assignment 7.. coz i never understood matrix :P :P) . . (+72)‎ hidedelete
(cur prev	topic) 10:18, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7- Turtle program" (asking the user to enter a value to variable followed by reset() command is helping me to create a turtle. when you ask the user to enter...) . . (+297)‎ hidedelete
(cur prev	topic) 06:07, 17 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Fun With Turtle. Turtle to Create Your Photograph" . . (+55)‎ hidedelete
(cur prev	topic) 06:07, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (Please find the video id showing Prof Sudarshan Iyenger's Photo getting creating in Turtle 6qG21YFJ_FU) . . (+103)‎ hidedelete
(cur prev	topic) 03:14, 17 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (in the above program if we introduce a variable inc=5 and change the following three rows col=col+inc,row=row+inc and pixel=pixel+inc and...) . . (+235)‎ hidedelete
(cur prev	topic) 17:19, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (you have defined your function as isbinarymatrix(m,n,matrix) and you are calling it as isbinray(n,m,matrix). When n is not equal to m, it...) . . (+239)‎ hidedelete
(cur prev	topic) 17:17, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Binary Matrix" . . (+54)‎ hidedelete
(cur prev	topic) 17:15, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (Our public test cases are all passing because they have given n=m in all the cases. In the private cases they could have given n=2 and m=...) . . (+245)‎ hidedelete
(cur prev	topic) 17:11, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (In the above code the browser is showing some lines starting with 1. They are commented lines. i dont know why the browser converted them...) . . (+165)‎ hidedelete
(cur prev	topic) 17:10, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Fun With Turtle. Turtle to Create Your Photograph" . . (-3)‎ hidedelete
(cur prev	topic) 17:09, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Fun With Turtle. Turtle to Create Your Photograph" . . (+3)‎ hidedelete
(cur prev	topic) 17:07, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Fun With Turtle. Turtle to Create Your Photograph" . . (+7)‎ hidedelete
(cur prev	topic) 17:05, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Fun With Turtle. Turtle to Create Your Photograph" (Dear all, Using Turtle, I have developed the following code. When we run it in turtle,it draws our photograph. Since it goes pixel by pi...) . . (+1,429)‎ hidedelete
(cur prev	topic) 16:58, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (Kindly tell what are lines 8,9 and 10 in your code.) . . (+51)‎ hidedelete
(cur prev	topic) 16:30, 16 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+46)‎ hidedelete
(cur prev	topic) 15:51, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (please post your code.) . . (+22)‎ hidedelete
(cur prev	topic) 15:43, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (in this case sets are useful too, if used correctly. sets removes duplicates too. :)) . . (+84)‎ hidedelete
(cur prev	topic) 15:42, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Week 7- Turtle program" . . (-11)‎ hidedelete
(cur prev	topic) 15:41, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Week 7- Turtle program" . . (-5)‎ hidedelete
(cur prev	topic) 15:41, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Week 7- Turtle program" . . (+23)‎ hidedelete
(cur prev	topic) 15:40, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7- Turtle program" (Here is the fix. i found and it is working on my system. Kindly check and get back. add these following lines in your code every time wh...) . . (+256)‎ hidedelete
(cur prev	topic) 15:29, 16 March 2019 . . Lakshmi (talk | contribs) commented on "Binary Matrix" (I tried your approach also.All test cases are not solved.) . . (+57)‎ hidedelete
(cur prev	topic) 15:21, 16 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Could you please provide CSV file for gps" . . (+17)‎ hidedelete
(cur prev	topic) 15:20, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Could you please provide CSV file for gps" (I downloaded this sample from online just copy paste all these into a Notepad and dont add any empty lines at the bottom or on the top. U...) . . (+1,247)‎ hidedelete
(cur prev	topic) 15:15, 16 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+6)‎ hidedelete
(cur prev	topic) 15:15, 16 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+1)‎ hidedelete
(cur prev	topic) 15:14, 16 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+442)‎ hidedelete
(cur prev	topic) 15:08, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Few hints for all Week 7 Assignments." (N = int(input()) mat=[] for i in range(N*N): mat[i]=input().split(" ") . . . This is the problem, we need to take matrix as a input...) . . (+392)‎ hidedelete
(cur prev	topic) 14:35, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (@Naveena418, Why are you taking input twice? That could be one of the reasons. Correct your code, and use only one loop to take inputs.) . . (+141)‎ hidedelete
(cur prev	topic) 14:27, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (Using my test conditions, I don't see any problem in your code. Maybe the test case is little tricky.) . . (+101)‎ hidedelete
(cur prev	topic) 14:21, 16 March 2019 . . Lakshmi (talk | contribs) commented on "Binary Matrix" (Can you say what's problem in my code Arun.) . . (+43)‎ hidedelete
(cur prev	topic) 14:05, 16 March 2019 . . Naveena418 (talk | contribs) commented on "Few hints for all Week 7 Assignments." (N = int(input()) mat=[] for i in range(N*N): mat[i]=input().split(" ") def transpose(mat, tr, N): for i in range(N): for...) . . (+619)‎ hidedelete
(cur prev	topic) 14:00, 16 March 2019 . . Naveena418 (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (n=int(input()) m=[[col for col in list(map(int,input().split()))] for r in range(n)] for i in range(n): l1=[] for j in range(n): l...) . . (+525)‎ hidedelete
(cur prev	topic) 13:49, 16 March 2019 . . Arunkumar (talk | contribs) deleted a comment on "Could you please provide CSV file for gps" (i resolved it) . . (-90)‎ undelete
(cur prev	topic) 08:54, 16 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Could you please provide CSV file for gps" . . (+20)‎ hidedelete
(cur prev	topic) 08:53, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Could you please provide CSV file for gps" (Kindly Reply to my Week 6 queries of Quiz Questions 3 and 6 posted in week 6.) . . (+77)‎ hidedelete
(cur prev	topic) 08:49, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (or you can create a set with all the elements and find the min and max of the set) . . (+81)‎ hidedelete
(cur prev	topic) 08:40, 16 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Could you please provide CSV file for gps" . . (+4)‎ 
(cur prev	topic) 08:40, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Could you please provide CSV file for gps" (@Descentis, Can you please provide html file. few students want it for practice.) . . (+86)‎ 
(cur prev	topic) 08:37, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (You are welcome. :)) . . (+19)‎ hidedelete
(cur prev	topic) 08:34, 16 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (You mean making them string? then yes possible.) . . (+47)‎ hidedelete
(cur prev	topic) 08:05, 16 March 2019 . . Descentis (talk | contribs) commented on "Week 7- Turtle program" (Which IDLE you are using? Are you working in Anaconda? Also, tell me your python version.) . . (+89)‎ hidedelete
(cur prev	topic) 08:03, 16 March 2019 . . Descentis (talk | contribs) commented on "Could you please provide CSV file for gps" (The same file you want?) . . (+23)‎ hidedelete
(cur prev	topic) 07:11, 16 March 2019 . . Ramarao dasari (talk | contribs) commented on "Could you please provide CSV file for gps" (Could you please provide CSV file for GPS trackroute) . . (+52)‎ hidedelete
(cur prev	topic) 06:21, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7- Turtle program" (After drawing for the first time, if i execute the code again i am seeing this problem. When i close the console , it is getting reconnec...) . . (+176)‎ hidedelete
(cur prev	topic) 06:17, 16 March 2019 . . Shitalp (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (Thank you Arun it worked) . . (+24)‎ hidedelete
(cur prev	topic) 01:37, 16 March 2019 . . Kamalakar (talk | contribs) commented on "Binary Matrix" (we may even merge all these elements into one list and find the min and max.) . . (+76)‎ hidedelete
(cur prev	topic) 16:46, 15 March 2019 . . Snehal (talk | contribs) commented on "Week 7- Turtle program" (Question 1 - As per video I typed the following code, but it is not working. It shows only a window after running the program. import tu...) . . (+1,845)‎ hidedelete
(cur prev	topic) 15:17, 15 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (You are welcome. :)) . . (+19)‎ hidedelete
(cur prev	topic) 13:48, 15 March 2019 . . Lakshmi (talk | contribs) commented on "Binary Matrix" (It's a good approach.I will try it.Thankyou Arun.) . . (+49)‎ hidedelete
(cur prev	topic) 12:56, 15 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+24)‎ hidedelete
(cur prev	topic) 12:54, 15 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+120)‎ hidedelete
(cur prev	topic) 12:51, 15 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (-1)‎ hidedelete
(cur prev	topic) 12:51, 15 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+1)‎ hidedelete
(cur prev	topic) 12:50, 15 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Binary Matrix" . . (+7)‎ hidedelete
(cur prev	topic) 12:49, 15 March 2019 . . Arunkumar (talk | contribs) commented on "Binary Matrix" (Yes, it is having some problem with one of the Hidden test cases. Please change your Print statements to if (isBinaryMatrix(n,m,mat)):...) . . (+897)‎ hidedelete
(cur prev	topic) 10:09, 15 March 2019 . . Arunkumar (talk | contribs) edited a comment on "How to post a code so that the code lines are not mixed up" . . (+37)‎ hidedelete
(cur prev	topic) 10:07, 15 March 2019 . . Arunkumar (talk | contribs) commented on "How to post a code so that the code lines are not mixed up" (use pre tag of HTML, to preserve the tab spacing.) . . (+49)‎ hidedelete
(cur prev	topic) 09:28, 15 March 2019 . . Sudha Verma (talk | contribs) commented on "How to post a code so that the code lines are not mixed up" (write the code as: yr code here) . . (+44)‎ hidedelete
(cur prev	topic) 08:28, 15 March 2019 . . Lakshmi (talk | contribs) commented on "Binary Matrix" (def isBinaryMatrix(m,n,mat): for i in range(m): for j in range(n): if ((mat[i][j] == 0 or mat[i][j]...) . . (+557)‎ hidedelete
(cur prev	topic) 04:14, 15 March 2019 . . Kamalakar (talk | contribs) commented on "How to post a code so that the code lines are not mixed up" (When i post a code here, the lines are getting mixed up. it is becoming difficult to read which line is in next block . Every line is app...) . . (+259)‎ hidedelete
(cur prev	topic) 04:12, 15 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Numpy error" . . (-63)‎ hidedelete
(cur prev	topic) 04:11, 15 March 2019 . . Kamalakar (talk | contribs) edited a comment on "Numpy error" . . (+64)‎ hidedelete
(cur prev	topic) 04:11, 15 March 2019 . . Kamalakar (talk | contribs) commented on "Numpy error" (Kidly use the following statement at the beginning of program instead of numpy. This worked for me from array import *) . . (+120)‎ hidedelete
(cur prev	topic) 04:05, 15 March 2019 . . Kamalakar (talk | contribs) commented on "Kindly Give Good Online Quiz Websites." (I just observed there are many python quiz apps in online Google play store. kindly try them on your smart phones.) . . (+114)‎ hidedelete
(cur prev	topic) 04:04, 15 March 2019 . . Kamalakar (talk | contribs) commented on "Numpy error" (anaconda uses 3.5.7 python where as online is using 3.5.5 version.) . . (+66)‎ hidedelete
(cur prev	topic) 03:56, 15 March 2019 . . Arunkumar (talk | contribs) commented on "Numpy error" (try using it in your code and check by using "compile and run" button. Of course there will be a error. still, You will see output of you...) . . (+144)‎ hidedelete
(cur prev	topic) 03:48, 15 March 2019 . . Sudha Verma (talk | contribs) deleted the topic "gps route week 7" (no need) . . (-16)‎ undelete
(cur prev	topic) 02:26, 15 March 2019 . . Alokesh985 (talk | contribs) commented on "Numpy error" (Is numpy not available in the online console?) . . (+45)‎ hidedelete
(cur prev	topic) 01:35, 15 March 2019 . . Kamalakar (talk | contribs) commented on "Kindly Give Good Online Quiz Websites." (I am doing google search for Python online quizzes. Can some one give good websites for online quizzes.) . . (+103)‎ hidedelete
(cur prev	topic) 15:07, 14 March 2019 . . Kamalakar (talk | contribs) commented on "Excellent Question posted in Practice Questions 1" (The output of the following program is 12. It took me good amount of time to understand why it is coming as 12 check1 = ['Learn', 'Quiz'...) . . (+539)‎ hidedelete
(cur prev	topic) 14:36, 14 March 2019 . . Kamalakar (talk | contribs) commented on "Exam Expected Questions Page" (in the search bar type Practice questions or expected questions) . . (+63)‎ hidedelete
(cur prev	topic) 10:18, 14 March 2019 . . Kamalakar (talk | contribs) commented on "Exam Expected Questions Page" (I have Put there 22 questions. Will add some more down the lane) . . (+63)‎ hidedelete
